video_type	frame_index	timestamp
scene	894	35.784400
scene	895	35.824800
scene	896	35.864800
scene	897	35.904800
scene	898	35.944800
scene	899	35.984800
scene	900	36.025200
scene	901	36.065200
scene	902	36.105200
scene	903	36.145200
scene	904	36.185200
scene	905	36.225200
scene	906	36.265600
scene	907	36.305600
scene	908	36.345600
scene	909	36.385600
scene	910	36.425600
scene	911	36.466000
scene	912	36.506000
scene	913	36.546000
scene	914	36.586000
scene	915	36.626000
scene	916	36.666000
scene	917	36.706400
scene	918	36.746400
scene	919	36.786400
scene	920	36.826400
scene	921	36.866400
scene	922	36.906800
scene	923	36.946800
scene	924	36.986800
scene	925	37.026800
scene	926	37.066800
scene	927	37.106800
scene	928	37.147200
scene	929	37.187200
scene	930	37.227200
scene	931	37.267200
scene	932	37.307200
scene	933	37.347600
scene	934	37.387600
scene	935	37.427600
scene	936	37.467600
scene	937	37.507600
scene	938	37.547600
scene	939	37.588000
scene	940	37.628000
scene	941	37.668000
scene	942	37.708000
scene	943	37.748000
scene	944	37.788000
scene	945	37.828400
scene	946	37.868400
scene	947	37.908400
scene	948	37.948400
scene	949	37.988400
scene	950	38.028800
scene	951	38.068800
scene	952	38.108800
scene	953	38.148800
scene	954	38.188800
scene	955	38.228800
scene	956	38.269200
scene	957	38.309200
scene	958	38.349200
scene	959	38.389200
scene	960	38.429200
scene	961	38.469600
scene	962	38.509600
scene	963	38.549600
scene	964	38.589600
scene	965	38.629600
scene	966	38.669600
scene	967	38.710000
scene	968	38.750000
scene	969	38.790000
scene	970	38.830000
scene	971	38.870000
scene	972	38.910400
scene	973	38.950400
scene	974	38.990400
scene	975	39.030400
scene	976	39.070400
scene	977	39.110400
scene	978	39.150800
scene	979	39.190800
scene	980	39.230800
scene	981	39.270800
scene	982	39.310800
scene	983	39.351200
scene	984	39.391200
scene	985	39.431200
scene	986	39.471200
scene	987	39.511200
scene	988	39.551200
scene	989	39.591600
scene	990	39.631600
scene	991	39.671600
scene	992	39.711600
scene	993	39.751600
scene	994	39.792000
scene	995	39.832000
scene	996	39.872000
scene	997	39.912000
scene	998	39.952000
scene	999	39.992000
scene	1000	40.032400
scene	1001	40.072400
scene	1002	40.112400
scene	1003	40.152400
scene	1004	40.192400
scene	1005	40.232800
scene	1006	40.272800
scene	1007	40.312800
scene	1008	40.352800
scene	1009	40.392800
scene	1010	40.432800
scene	1011	40.473200
scene	1012	40.513200
scene	1013	40.553200
scene	1014	40.593200
scene	1015	40.633200
scene	1016	40.673600
scene	1017	40.713600
scene	1018	40.753600
scene	1019	40.793600
scene	1020	40.833600
scene	1021	40.873600
scene	1022	40.914000
scene	1023	40.954000
scene	1024	40.994000
scene	1025	41.034000
scene	1026	41.074000
scene	1027	41.114400
scene	1028	41.154400
scene	1029	41.194400
scene	1030	41.234400
scene	1031	41.274400
scene	1032	41.314400
scene	1033	41.354800
scene	1034	41.394800
scene	1035	41.434800
scene	1036	41.474800
scene	1037	41.514800
scene	1038	41.555200
scene	1039	41.595200
scene	1040	41.635200
scene	1041	41.675200
scene	1042	41.715200
scene	1043	41.755200
scene	1044	41.795600
scene	1045	41.835600
scene	1046	41.875600
scene	1047	41.915600
scene	1048	41.955600
scene	1049	41.996000
scene	1050	42.036000
scene	1051	42.076000
scene	1052	42.116000
scene	1053	42.156000
scene	1054	42.196000
scene	1055	42.236400
scene	1056	42.276400
scene	1057	42.316400
scene	1058	42.356400
scene	1059	42.396400
scene	1060	42.436800
scene	1061	42.476800
scene	1062	42.516800
scene	1063	42.556800
scene	1064	42.596800
scene	1065	42.636800
scene	1066	42.677200
scene	1067	42.717200
scene	1068	42.757200
scene	1069	42.797200
scene	1070	42.837200
scene	1071	42.877600
scene	1072	42.917600
scene	1073	42.957600
scene	1074	42.997600
scene	1075	43.037600
scene	1076	43.077600
scene	1077	43.118000
scene	1078	43.158000
scene	1079	43.198000
scene	1080	43.238000
scene	1081	43.278000
scene	1082	43.318400
scene	1083	43.358400
scene	1084	43.398400
scene	1085	43.438400
scene	1086	43.478400
scene	1087	43.518400
scene	1088	43.558800
scene	1089	43.598800
scene	1090	43.638800
scene	1091	43.678800
scene	1092	43.718800
scene	1093	43.759200
scene	1094	43.799200
scene	1095	43.839200
scene	1096	43.879200
scene	1097	43.919200
scene	1098	43.959200
scene	1099	43.999600
scene	1100	44.039600
scene	1101	44.079600
scene	1102	44.119600
scene	1103	44.159600
scene	1104	44.199600
scene	1105	44.240000
scene	1106	44.280000
scene	1107	44.320000
scene	1108	44.360000
scene	1109	44.400000
scene	1110	44.440400
scene	1111	44.480400
scene	1112	44.520400
scene	1113	44.560400
scene	1114	44.600400
scene	1115	44.640400
scene	1116	44.680800
scene	1117	44.720800
scene	1118	44.760800
scene	1119	44.800800
scene	1120	44.840800
scene	1121	44.881200
scene	1122	44.921200
scene	1123	44.961200
scene	1124	45.001200
scene	1125	45.041200
scene	1126	45.081200
scene	1127	45.121600
scene	1128	45.161600
scene	1129	45.201600
scene	1130	45.241600
scene	1131	45.281600
scene	1132	45.322000
scene	1133	45.362000
scene	1134	45.402000
scene	1135	45.442000
scene	1136	45.482000
scene	1137	45.522000
scene	1138	45.562400
scene	1139	45.602400
scene	1140	45.642400
scene	1141	45.682400
scene	1142	45.722400
scene	1143	45.762800
scene	1144	45.802800
scene	1145	45.842800
scene	1146	45.882800
scene	1147	45.922800
scene	1148	45.962800
scene	1149	46.003200
scene	1150	46.043200
scene	1151	46.083200
scene	1152	46.123200
scene	1153	46.163200
scene	1154	46.203600
scene	1155	46.243600
scene	1156	46.283600
scene	1157	46.323600
scene	1158	46.363600
scene	1159	46.403600
scene	1160	46.444000
scene	1161	46.484000
scene	1162	46.524000
scene	1163	46.564000
scene	1164	46.604000
scene	1165	46.644400
scene	1166	46.684400
scene	1167	46.724400
scene	1168	46.764400
scene	1169	46.804400
scene	1170	46.844400
scene	1171	46.884800
scene	1172	46.924800
scene	1173	46.964800
scene	1174	47.004800
scene	1175	47.044800
scene	1176	47.085200
scene	1177	47.125200
scene	1178	47.165200
scene	1179	47.205200
scene	1180	47.245200
scene	1181	47.285200
scene	1182	47.325600
scene	1183	47.365600
scene	1184	47.405600
scene	1185	47.445600
scene	1186	47.485600
scene	1187	47.526000
scene	1188	47.566000
scene	1189	47.606000
scene	1190	47.646000
scene	1191	47.686000
scene	1192	47.726000
scene	1193	47.766400
scene	1194	47.806400
scene	1195	47.846400
scene	1196	47.886400
scene	1197	47.926400
scene	1198	47.966800
scene	1199	48.006800
scene	1200	48.046800
scene	1201	48.086800
scene	1202	48.126800
scene	1203	48.166800
scene	1204	48.207200
scene	1205	48.247200
scene	1206	48.287200
scene	1207	48.327200
scene	1208	48.367200
scene	1209	48.407600
scene	1210	48.447600
scene	1211	48.487600
scene	1212	48.527600
scene	1213	48.567600
scene	1214	48.607600
scene	1215	48.648000
scene	1216	48.688000
scene	1217	48.728000
scene	1218	48.768000
scene	1219	48.808000
scene	1220	48.848400
scene	1221	48.888400
scene	1222	48.928400
scene	1223	48.968400
scene	1224	49.008400
scene	1225	49.048400
scene	1226	49.088800
scene	1227	49.128800
scene	1228	49.168800
scene	1229	49.208800
scene	1230	49.248800
scene	1231	49.289200
scene	1232	49.329200
scene	1233	49.369200
scene	1234	49.409200
scene	1235	49.449200
scene	1236	49.489200
scene	1237	49.529600
scene	1238	49.569600
scene	1239	49.609600
scene	1240	49.649600
scene	1241	49.689600
scene	1242	49.730000
scene	1243	49.770000
scene	1244	49.810000
scene	1245	49.850000
scene	1246	49.890000
scene	1247	49.930000
scene	1248	49.970400
scene	1249	50.010400
scene	1250	50.050400
scene	1251	50.090400
scene	1252	50.130400
scene	1253	50.170800
scene	1254	50.210800
scene	1255	50.250800
scene	1256	50.290800
scene	1257	50.330800
scene	1258	50.370800
scene	1259	50.411200
scene	1260	50.451200
scene	1261	50.491200
scene	1262	50.531200
scene	1263	50.571200
scene	1264	50.611200
scene	1265	50.651600
scene	1266	50.691600
scene	1267	50.731600
scene	1268	50.771600
scene	1269	50.811600
