timestamp	magnetometer_x	magnetometer_y	magnetometer_z
6.627235e+01	-5.514e+01	2.215e+02	2.926e+02
6.637373e+01	-5.582e+01	2.231e+02	2.962e+02
6.647535e+01	-5.098e+01	2.224e+02	2.966e+02
6.657689e+01	-5.372e+01	2.234e+02	2.996e+02
6.667845e+01	-5.093e+01	2.221e+02	2.978e+02
6.677992e+01	-5.388e+01	2.232e+02	3.006e+02
6.688148e+01	-5.155e+01	2.225e+02	2.970e+02
6.698305e+01	-5.453e+01	2.236e+02	3.002e+02
6.708461e+01	-5.189e+01	2.226e+02	2.974e+02
6.718620e+01	-5.507e+01	2.231e+02	3.000e+02
6.728783e+01	-5.293e+01	2.220e+02	2.973e+02
6.738936e+01	-5.524e+01	2.229e+02	2.990e+02
6.749089e+01	-5.263e+01	2.222e+02	2.963e+02
6.759245e+01	-5.520e+01	2.227e+02	2.987e+02
6.769435e+01	-5.284e+01	2.221e+02	2.959e+02
6.779561e+01	-5.582e+01	2.224e+02	2.999e+02
6.789717e+01	-5.372e+01	2.220e+02	2.970e+02
6.799870e+01	-5.588e+01	2.227e+02	2.993e+02
6.810027e+01	-5.343e+01	2.220e+02	2.962e+02
6.820183e+01	-5.647e+01	2.230e+02	2.991e+02
6.830336e+01	-5.613e+01	2.215e+02	2.961e+02
6.840495e+01	-5.631e+01	2.229e+02	2.991e+02
6.850651e+01	-5.555e+01	2.220e+02	2.965e+02
6.860805e+01	-5.593e+01	2.227e+02	2.983e+02
6.870961e+01	-5.577e+01	2.225e+02	2.969e+02
6.881895e+01	-5.613e+01	2.225e+02	2.993e+02
6.892058e+01	-5.599e+01	2.229e+02	2.981e+02
6.901430e+01	-5.619e+01	2.228e+02	2.993e+02
6.911586e+01	-5.629e+01	2.226e+02	2.987e+02
6.921742e+01	-5.601e+01	2.224e+02	2.996e+02
6.931898e+01	-5.591e+01	2.224e+02	2.993e+02
6.942058e+01	-5.642e+01	2.225e+02	2.989e+02
6.952217e+01	-5.566e+01	2.228e+02	2.985e+02
6.962367e+01	-5.590e+01	2.226e+02	2.989e+02
6.972523e+01	-5.619e+01	2.228e+02	2.986e+02
6.982695e+01	-5.568e+01	2.224e+02	2.982e+02
6.992839e+01	-5.562e+01	2.224e+02	2.984e+02
7.002982e+01	-5.596e+01	2.222e+02	2.987e+02
7.013141e+01	-5.593e+01	2.229e+02	2.985e+02
7.023294e+01	-5.559e+01	2.228e+02	2.988e+02
7.033451e+01	-5.604e+01	2.224e+02	2.986e+02
7.043610e+01	-5.614e+01	2.222e+02	2.989e+02
7.053766e+01	-5.585e+01	2.229e+02	2.987e+02
7.063925e+01	-5.532e+01	2.223e+02	2.988e+02
7.074076e+01	-5.615e+01	2.224e+02	2.991e+02
7.084232e+01	-5.618e+01	2.224e+02	2.992e+02
7.094391e+01	-5.603e+01	2.230e+02	2.990e+02
7.104547e+01	-5.575e+01	2.225e+02	2.994e+02
7.114701e+01	-5.576e+01	2.228e+02	2.987e+02
7.124857e+01	-5.568e+01	2.227e+02	2.991e+02
7.135016e+01	-5.560e+01	2.225e+02	2.989e+02
7.145172e+01	-5.565e+01	2.225e+02	2.992e+02
7.155326e+01	-5.568e+01	2.224e+02	2.996e+02
7.165736e+01	-5.618e+01	2.224e+02	2.989e+02
7.176444e+01	-5.570e+01	2.230e+02	2.988e+02
7.185823e+01	-5.591e+01	2.226e+02	2.990e+02
7.195979e+01	-5.593e+01	2.222e+02	2.992e+02
7.206132e+01	-5.596e+01	2.228e+02	2.992e+02
7.216300e+01	-5.460e+01	2.222e+02	2.988e+02
7.226444e+01	-5.586e+01	2.225e+02	2.991e+02
7.236601e+01	-5.337e+01	2.228e+02	2.996e+02
7.246757e+01	-5.617e+01	2.229e+02	2.986e+02
7.256913e+01	-5.350e+01	2.221e+02	2.989e+02
7.267112e+01	-5.587e+01	2.228e+02	2.989e+02
7.277241e+01	-5.347e+01	2.215e+02	2.981e+02
7.287382e+01	-5.603e+01	2.228e+02	2.988e+02
7.297538e+01	-5.347e+01	2.219e+02	2.973e+02
7.307698e+01	-5.580e+01	2.230e+02	2.991e+02
7.317851e+01	-5.339e+01	2.219e+02	2.967e+02
7.327998e+01	-5.612e+01	2.227e+02	2.988e+02
7.338249e+01	-5.292e+01	2.221e+02	2.970e+02
7.348310e+01	-5.599e+01	2.228e+02	2.992e+02
7.358469e+01	-5.342e+01	2.220e+02	2.969e+02
7.368623e+01	-5.637e+01	2.229e+02	2.987e+02
7.378779e+01	-5.337e+01	2.220e+02	2.970e+02
7.388935e+01	-5.602e+01	2.231e+02	2.984e+02
7.399091e+01	-5.337e+01	2.221e+02	2.962e+02
7.409251e+01	-5.648e+01	2.228e+02	2.987e+02
7.419404e+01	-5.322e+01	2.217e+02	2.960e+02
7.429563e+01	-5.620e+01	2.229e+02	2.985e+02
7.439719e+01	-5.357e+01	2.217e+02	2.964e+02
7.449885e+01	-5.642e+01	2.229e+02	2.993e+02
7.460026e+01	-5.368e+01	2.220e+02	2.967e+02
7.470185e+01	-5.630e+01	2.227e+02	2.992e+02
7.480341e+01	-5.477e+01	2.215e+02	2.968e+02
7.490488e+01	-5.646e+01	2.232e+02	2.988e+02
7.500650e+01	-5.549e+01	2.216e+02	2.972e+02
7.510807e+01	-5.624e+01	2.226e+02	2.997e+02
7.520963e+01	-5.628e+01	2.224e+02	2.969e+02
7.531116e+01	-5.623e+01	2.228e+02	2.997e+02
7.541272e+01	-5.610e+01	2.230e+02	2.987e+02
7.551429e+01	-5.597e+01	2.225e+02	2.993e+02
7.561585e+01	-5.604e+01	2.226e+02	2.990e+02
7.571741e+01	-5.634e+01	2.227e+02	2.994e+02
7.581897e+01	-5.640e+01	2.227e+02	2.996e+02
7.592054e+01	-5.577e+01	2.229e+02	2.991e+02
7.602210e+01	-5.612e+01	2.226e+02	2.986e+02
