Time	Gaze X	Gaze Y	Left Pupil	Right Pupil
120.4898	0.606961872	0.255573324	2.832621574	3.006644964
120.509893	0.604771672	0.15193845	2.77521801	3.038568497
120.529873	0.600456081	0.195692506	2.799311399	3.08155489
120.549966	0.596940487	0.207554654	2.807498932	3.079401731
120.569945	0.592373967	0.208253111	0.932839982	
120.590038	0.613979648	0.17258164	2.699532032	3.173773527
120.610018	0.564524703	0.222799227	2.709807158	3.034190893
120.630111	0.552396629	0.16496272	2.761854887	3.227662086
120.65009	0.60927883	0.217638358	2.770432949	3.020358324
120.670183				
120.690162	0.488233861	0.057367642	2.919530392	
120.710256	0.650687361	0.24888659	2.765085936	2.75958252
120.730235	0.589061313	0.148332874	2.757983923	3.12539053
120.750328	0.588601479	0.183740286	2.618997097	2.992955923
120.770308	0.619240075	0.137618256	2.582948685	2.908236504
120.790401	0.593633414	0.182951724	2.612960339	2.923591852
120.81038	0.577645753	0.190553122	2.834601402	2.946537495
120.830474	0.58754165	0.208319782	0.933933953	
120.850452	0.56328231	0.227505736	2.637422085	2.851071835
120.870546	0.589005674	0.233774995	0.94466921	
120.890525	0.590185113	0.23039575	0.943386874	
120.910618	0.595226473	0.22454071	0.940311106	
120.930598	0.550279807	0.210917802	2.715223789	
120.950691	0.576974817	0.203529097	2.514964581	2.920354366
120.97067	0.584326543	0.192615336	2.519628525	2.908577919
120.990763	0.584245992	0.177689897	2.377563238	2.897204161
121.010742	0.57043082	0.241479665	2.630506992	2.658363104
121.030836	0.538101487	0.39032545	2.625710487	2.870368242
121.050815	0.480166771	0.501113564	2.683620453	
121.070908	0.479088155	0.544752349	2.74581027	
121.090887	0.482250111	0.559392782	2.764701128	
121.11098	0.483518536	0.565231529	2.77824831	
121.13096	0.484418481	0.568699117	2.795960426	
121.151053	0.484732981	0.566056184	2.804588556	
121.171032	0.486658389	0.560723524	2.803213358	3.378498793
121.191125	0.486234906	0.559796678	2.801537275	3.648341179
121.211104	0.522257062	0.504834016	0.99923348	
121.231198				
121.251177				
121.27127				
121.291249				
121.311343				
121.331322				
121.351415				
121.371394				
121.391488				
121.411467				
121.431561	0.408855186	0.578427208	0.96930582	
121.451539	0.366326552	0.630494146	2.786231518	2.875338793
121.471633	0.336741472	0.656361301	2.81380558	3.418736935
121.491612	0.563040122	0.259464065	0.956793319	
121.511706	0.329526272	0.636332503	2.953195095	
121.531685				
121.551778	0.330896458	0.614565728	3.119185448	
121.571757	0.332310386	0.609346643	3.132031441	
121.59185	0.332113751	0.604492519	3.159188032	
121.61183	0.347051563	0.620640859	2.926842213	
121.631923				
121.651902				
121.671995	0.415377181	0.544133287	3.156405449	
121.691975	0.435629655	0.482566204	3.078877211	3.932169199
121.712068	0.396017234	0.523772195	3.134616613	
121.732047	0.456856195	0.497166304	0.986205085	
121.752141	0.523441769	0.573442775	0.998295128	
121.77212	0.57797001	0.587239708	3.417214155	3.430952311
121.792213	0.603136682	0.554606522	3.314660549	
121.812192	0.639258463	0.517839684	3.915694475	3.276599884
121.832286	0.632215158	0.509335623	3.532691956	3.274489403
121.852265	0.589587704	0.505739326	3.402740002	3.115949631
121.872358	0.579544194	0.500110113	0.98687551	
121.892337	0.571670514	0.496000152	0.989325697	
121.91243	0.56633493	0.503804036	0.990886659	
121.93241	0.561023576	0.508472195	2.638350725	3.277044296
121.952503	0.582997039	0.435376613	2.874724627	3.376621962
121.972482	0.571706021	0.502936267	2.961217165	3.22841239
121.992576	0	0	2.976195574	3.377342463
122.012555	0	0	2.997696161	3.416124821
122.032649	0	0	2.981491566	3.519677401
122.052627	0	0	2.96108079	3.456522465
122.07272	0	0	2.898185492	3.41452837
122.0927	0	0	2.834337473	3.366972923
122.112793	0.545095605	0.498589008	2.863646507	3.155576706
122.132772	0.536993157	0.473310247	2.921008348	3.084822655
122.152865	0.523682975	0.44153904	2.941583633	
122.172845	0.529602861	0.489217807	2.979839802	3.225581169
122.192938	0.545834575	0.498522521	3.014854431	3.237770081
122.212917	0.537443175	0.497046329	3.006990433	3.266902447
122.233011	0.532158932	0.498146802	2.98426199	3.28327632
122.25299	0.534979217	0.506587649	2.892419815	3.24505806
122.273083	0.542179937	0.514456837	2.84081912	3.275034904
122.293063	0.546550822	0.519805417	2.799534321	3.310590506
122.313156	0.548717975	0.518649792	2.796345711	3.325456858
122.333135	0.549566496	0.518017327	2.810785294	3.330925465
122.353228	0.549874625	0.518845196	2.814208746	3.324091911
122.373208	0.550052249	0.518894423	2.811004877	3.32319355
122.393301	0.487560409	0.436409566	2.808555126	
122.41328	0.487749404	0.436350861	2.805449486	
122.433373	0.487797322	0.435746102	2.802820206	
122.453353	0.548786438	0.517087781	2.799714804	3.302775383
122.473446	0.548020197	0.51556401	2.803714991	3.289590836
122.493425	0.547290378	0.514546247	2.80702281	3.269542694
122.513518	0.5476035	0.514988447	2.808976889	3.257795811
122.533497	0.495674364	0.48062774	2.809551477	3.341551542
122.553591	0.481966819	0.434977481	2.803755522	
122.57357	0.482114073	0.434044568	2.805109024	
122.593664	0.482494368	0.43315072	2.808005095	
122.613642	0.482600866	0.432072817	2.812449455	
122.633736	0.48225883	0.43192619	2.810337067	
122.653715	0.4824734	0.431495803	2.81109333	
122.673808	0.49368695	0.446818507	2.811820745	3.18358326
122.693788	0.491568849	0.427273465	2.812354088	
122.713881	0.491193343	0.427056513	2.809912205	
122.73386	0.491110634	0.427596801	2.808690548	
122.753953	0.491551982	0.427408767	2.817504883	
122.773933	0.492276535	0.427447317	2.823411226	
122.794026	0.492998445	0.428021544	2.825772285	
122.814005	0.502251989	0.425685532	2.822588682	3.039426088
122.834099	0.504190263	0.424277575	2.838638783	
122.854078	0.508247975	0.412742832	2.8548069	2.951359749
122.874171	0.493268939	0.439216404	2.886242628	
122.89415	0.475433672	0.449008808	2.878310442	3.157092571
122.914243				
122.934223				
122.954315	0.477335094	0.445232984	2.885099411	
122.974295	0.484394783	0.441518243	2.893263102	
122.994388	0.48738621	0.439863821	2.899672508	
123.014367	0.525832245	0.490735127	2.900765419	3.307105064
123.034461	0.488542411	0.438294273	2.904204845	
123.05444	0.539063634	0.500871168	2.914031744	3.277911901
123.074533	0.548649814	0.51172825	2.919655085	3.329845667
123.094512	0.551453154	0.511701709	2.876027107	3.318062544
123.114606	0.479994743	0.45723005	2.902146101	
123.134585	0.475542073	0.470777382	2.915851593	
123.154678	0.541385605	0.551834128	2.922363043	3.341317415
123.174657	0.54248967	0.559590129	2.930707932	3.344463825
123.19475	0.543383731	0.561608994	2.920988083	3.358065605
123.21473	0.543731145	0.560294127	2.937526226	3.371382713
123.234823	0.544676011	0.561024574	2.928275347	3.371762037
123.254802	0.482682371	0.479753527	2.929668665	
123.274896	0.483271795	0.478316308	2.931394577	
123.294875	0.48392232	0.477789819	2.933639288	
123.314969	0.485831683	0.479705141	2.92833972	
123.334947	0.486696768	0.48236875	2.923794031	
123.355041	0.487187519	0.483136555	2.922638893	
123.37502	0.487730071	0.483578117	2.922480106	
123.395113	0.549471794	0.560645209	2.928318262	3.385987043
123.415092	0.486093685	0.484052747	2.956326723	
123.435186				
123.455165				
123.475258				
123.495237				
123.51533				
123.535309				
123.555403				
123.575382	0.561337665	0.553391046	3.014788389	3.404010773
123.595475	0.499958716	0.501026246	2.925348282	
123.615455	0.564117599	0.559927792	2.969477177	3.374102592
123.635548	0.507997161	0.492192819	2.977283955	
123.655527	0.565913536	0.572472419	2.938103676	3.415837765
123.67562	0.627893667	0.658305348	0.984976674	
123.6956	0.56673611	0.578499071	2.92547226	3.466217041
123.715693	0.571209738	0.572699051	2.988827467	3.46779418
123.735672	0.576076202	0.572213458	2.97175622	3.421525002
123.755765	0.571510138	0.567326184	2.956419468	3.347059727
123.775745	0.568424069	0.567761009	2.916833639	3.340323925
123.795838	0.568800296	0.571460042	2.890935421	3.402046204
123.815817	0.512654419	0.491132851	2.893350124	
123.83591	0.510123395	0.490446245	2.891880989	
123.85589	0.512001844	0.494281952	2.906670094	
123.875983	0.51262749	0.493399522	2.915552616	
123.895962	0.511696999	0.492450647	2.921063185	
123.916055	0.511052561	0.491720378	2.930977821	
123.936034	0.528385603	0.459075331	2.711056471	
123.956128	0.598830849	0.487473568	0.995928218	
123.976107	0.534777899	0.72680673	0.980654902	
123.996201				
124.016179				
124.036273	0.543191314	0.464649104	2.44278574	4.147499561
124.056252	0.599842078	0.402233104	0.987940208	
124.076345	0.546243128	0.328879695	2.92323494	3.235637426
124.096325	0.578957068	0.355964017	0.980452335	
124.116418	0.539021658	0.325126997	2.947690248	3.175088882
124.136398	0.538433661	0.318309625	2.797426939	3.128428936
124.156491	0.538341691	0.320817682	2.785354137	3.110167265
124.17647	0.505240294	0.287174008	2.746649027	3.122788191
124.196563	0.538559683	0.265581488	2.842627525	2.966690302
124.216543				
124.236636	0.52458726	0.268537277	3.083134651	3.298843622
124.256615	0.515811553	0.193542882	2.949020147	
124.276708	0.525310223	0.186198572	3.015118122	
124.296688	0	0	2.797267437	3.252104044
124.316781	0.579850368	0.167279188	2.883016109	3.14709425
124.33676	0.577939038	0.223399755	2.735187769	3.160291195
124.356853	0.578964217	0.204711212	2.769452333	3.121331692
124.376833	0.583972478	0.192847555	2.822691917	3.016795158
124.396926	0.588258093	0.181958621	2.873810768	2.965727568
124.416905	0.581815745	0.180974119	2.916085243	3.029677153
124.436998	0.517544358	0.061153006	2.828780651	
124.456978	0.566518284	0.192752064	2.889267445	3.033153057
124.477072	0.572609153	0.196772135	3.180375338	2.987178326
124.49705	0.572356835	0.201210682	2.923052073	3.004263163
124.517143	0.531503673	0.15359377	3.006382227	
124.537122	0.575538643	0.206008393	2.818772078	3.118483782
124.557216	0.5876403	0.169462057	2.88468647	3.072092295
124.577195	0.600164424	0.154821157	2.935395002	2.966238499
124.597289	0.580784601	0.1798274	3.082642317	3.021626472
124.617268	0.49797793	0.081149522	2.929354906	
124.637361	0.560054945	0.17974369	3.069516182	2.990805149
124.65734	0.598330676	0.189032719	0.926879523	
124.677434	0.558664349	0.219521568	2.846356392	2.984260321
124.697412				
124.717506				
124.737485	0.619029558	0.36013601	4.394465446	
